x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
1.469999999999999902e-06,5.008731916757058560e+18,7.243358700155165696e+18,9.077367375623324672e+18,9.303143884777353216e+18
1.477000000000000004e-06,5.023996905296399360e+18,7.267494872016987136e+18,9.108915694903607296e+18,9.335605509186527232e+18
1.483999999999999895e-06,5.039193796815141888e+18,7.291539364498838528e+18,9.140354096949277696e+18,9.367954979019835392e+18
1.490999999999999997e-06,5.054322751498651648e+18,7.315492259517350912e+18,9.171682590993432576e+18,9.400192294518503424e+18
1.497999999999999888e-06,5.069383928981592064e+18,7.339353638780092416e+18,9.202901186246378496e+18,9.432317455923173376e+18
1.504999999999999990e-06,5.084377488347448320e+18,7.363123583784799232e+18,9.234009891895588864e+18,9.464330463473879040e+18
1.511999999999999881e-06,5.099303588128095232e+18,7.386802175818615808e+18,9.265008717105567744e+18,9.496231317410056192e+18
1.518999999999999983e-06,5.114162386303370240e+18,7.410389495957312512e+18,9.295897671017793536e+18,9.528020017970546688e+18
1.525999999999999874e-06,5.128954040300612608e+18,7.433885625064491008e+18,9.326676762750613504e+18,9.559696565393577984e+18
1.532999999999999976e-06,5.143678706994284544e+18,7.457290643790877696e+18,9.357346001399164928e+18,9.591260959916783616e+18
1.539999999999999867e-06,5.158336542705539072e+18,7.480604632573494272e+18,9.387905396035264512e+18,9.622713201777172480e+18
1.546999999999999969e-06,5.172927703201829888e+18,7.503827671634939904e+18,9.418354955707338752e+18,9.654053291211153408e+18
1.553999999999999860e-06,5.187452343696505856e+18,7.526959840982605824e+18,9.448694689440327680e+18,9.685281228454520832e+18
1.560999999999999962e-06,5.201910618848448512e+18,7.550001220407948288e+18,9.478924606235598848e+18,9.716397013742446592e+18
1.568000000000000065e-06,5.216302682761696256e+18,7.572951889485699072e+18,9.509044715070849024e+18,9.747400647309488128e+18
1.574999999999999955e-06,5.230628688985041920e+18,7.595811927573138432e+18,9.539055024900024320e+18,9.778292129389590528e+18
