x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
4.689999999999999989e-06,6.394722626850052096e+18,9.506258154567806976e+18,1.208074619568780493e+19,1.239781757363748659e+19
4.697000000000000091e-06,6.386589525260652544e+18,9.492519628762368000e+18,1.206222011313103872e+19,1.237870083064672256e+19
4.704000000000000194e-06,6.378403362222418944e+18,9.478697459332134912e+18,1.204358502331011072e+19,1.235947195685468570e+19
4.711000000000000296e-06,6.370164043263361024e+18,9.464791593408241664e+18,1.202484092020743782e+19,1.234013095210415514e+19
4.717999999999999551e-06,6.361871473349718016e+18,9.450801977840306176e+18,1.200598779777381990e+19,1.232067781623709286e+19
4.724999999999999654e-06,6.353525556885781504e+18,9.436728559196919808e+18,1.198702564992857088e+19,1.230111254909461094e+19
4.731999999999999756e-06,6.345126197713823744e+18,9.422571283766104064e+18,1.196795447055947366e+19,1.228143515051702886e+19
4.738999999999999859e-06,6.336673299113980928e+18,9.408330097555773440e+18,1.194877425352292966e+19,1.226164562034383053e+19
4.745999999999999961e-06,6.328166763804126208e+18,9.394004946294233088e+18,1.192948499264397517e+19,1.224174395841368883e+19
4.753000000000000063e-06,6.319606493939776512e+18,9.379595775430656000e+18,1.191008668171635917e+19,1.222173016456445133e+19
4.760000000000000166e-06,6.310992391113969664e+18,9.365102530135541760e+18,1.189057931450258022e+19,1.220160423863314227e+19
4.766999999999999421e-06,6.302324356357188608e+18,9.350525155301242880e+18,1.187096288473399296e+19,1.218136618045600154e+19
4.773999999999999524e-06,6.293602290137207808e+18,9.335863595542394880e+18,1.185123738611081011e+19,1.216101598986840883e+19
4.780999999999999626e-06,6.284826092359051264e+18,9.321117795196465152e+18,1.183140281230222336e+19,1.214055366670498406e+19
4.787999999999999728e-06,6.275995662364836864e+18,9.306287698324215808e+18,1.181145915694643405e+19,1.211997921079950746e+19
4.794999999999999831e-06,6.267110898933729280e+18,9.291373248710201344e+18,1.179140641365070643e+19,1.209929262198494618e+19
4.801999999999999933e-06,6.258171700281796608e+18,9.276374389863270400e+18,1.177124457599145779e+19,1.207849390009347891e+19
4.809000000000000035e-06,6.249177964061968384e+18,9.261291065017063424e+18,1.175097363751432397e+19,1.205758304495647949e+19
4.816000000000000138e-06,6.240129587363879936e+18,9.246123217130532864e+18,1.173059359173418394e+19,1.203656005640450662e+19
4.823000000000000240e-06,6.231026466713852928e+18,9.230870788888426496e+18,1.171010443213524787e+19,1.201542493426732237e+19
4.830000000000000343e-06,6.221868498074752000e+18,9.215533722701814784e+18,1.168950615217116160e+19,1.199417767837389005e+19
4.837000000000000445e-06,6.212655576845940736e+18,9.200111960708589568e+18,1.166879874526497792e+19,1.197281828855238451e+19
4.844000000000000547e-06,6.203387597863159808e+18,9.184605444773994496e+18,1.164798220480930611e+19,1.195134676463016141e+19
4.851000000000000650e-06,6.194064455398491136e+18,9.169014116491129856e+18,1.162705652416636109e+19,1.192976310643381248e+19
4.858000000000000752e-06,6.184686043160244224e+18,9.153337917181480960e+18,1.160602169666797158e+19,1.190806731378909798e+19
4.864999999999999160e-06,6.175252254292899840e+18,9.137576787895445504e+18,1.158487771561573786e+19,1.188625938652104294e+19
4.871999999999999263e-06,6.165762981377025024e+18,9.121730669412829184e+18,1.156362457428099277e+19,1.186433932445381222e+19
4.878999999999999365e-06,6.156218116429224960e+18,9.105799502243427328e+18,1.154226226590497587e+19,1.184230712741083750e+19
4.885999999999999468e-06,6.146617550902045696e+18,9.089783226627506176e+18,1.152079078369882931e+19,1.182016279521474970e+19
4.892999999999999570e-06,6.136961175683931136e+18,9.073681782536371200e+18,1.149921012084366950e+19,1.179790632768739123e+19
4.899999999999999672e-06,6.127248881099161600e+18,9.057495109672885248e+18,1.147752027049069773e+19,1.177553772464981811e+19
4.906999999999999775e-06,6.117480556907779072e+18,9.041223147472016384e+18,1.145572122576120218e+19,1.175305698592231834e+19
4.913999999999999877e-06,6.107656092305544192e+18,9.024865835101379584e+18,1.143381297974670541e+19,1.173046411132439757e+19
4.920999999999999980e-06,6.097775375923878912e+18,9.008423111461774336e+18,1.141179552550895821e+19,1.170775910067477709e+19
4.928000000000000082e-06,6.087838295829809152e+18,8.991894915187746816e+18,1.138966885608004198e+19,1.168494195379140813e+19
4.935000000000000184e-06,6.077844739525942272e+18,8.975281184648136704e+18,1.136743296446246093e+19,1.166201267049146778e+19
4.942000000000000287e-06,6.067794593950377984e+18,8.958581857946610688e+18,1.134508784362914406e+19,1.163897125059136102e+19
4.949000000000000389e-06,6.057687745476718592e+18,8.941796872922253312e+18,1.132263348652359066e+19,1.161581769390672077e+19
4.956000000000000491e-06,6.047524079913992192e+18,8.924926167150092288e+18,1.130006988605989069e+19,1.159255200025242214e+19
4.962999999999999747e-06,6.037303482506632192e+18,8.907969677941688320e+18,1.127739703512281498e+19,1.156917416944256819e+19
4.969999999999999849e-06,6.027025837934449664e+18,8.890927342345674752e+18,1.125461492656786432e+19,1.154568420129048576e+19
4.976999999999999952e-06,6.016691030312599552e+18,8.873799097148349440e+18,1.123172355322138010e+19,1.152208209560875622e+19
4.984000000000000054e-06,6.006298943191556096e+18,8.856584878874218496e+18,1.120872290788055654e+19,1.149836785220918886e+19
4.991000000000000156e-06,5.995849459557088256e+18,8.839284623786592256e+18,1.118561298331358618e+19,1.147454147090284544e+19
4.998000000000000259e-06,5.985342461830253568e+18,8.821898267888145408e+18,1.116239377225964749e+19,1.145060295150002586e+19
5.004999999999999514e-06,5.974777831867369472e+18,8.804425746921502720e+18,1.113906526742906880e+19,1.142655229381026202e+19
5.011999999999999616e-06,5.964155450960011264e+18,8.786866996369812480e+18,1.111562746150328934e+19,1.140238949764236083e+19
5.018999999999999719e-06,5.953475199834999808e+18,8.769221951457344512e+18,1.109208034713505997e+19,1.137811456280434278e+19
5.025999999999999821e-06,5.942736958654407680e+18,8.751490547150055424e+18,1.106842391694839194e+19,1.135372748910351565e+19
5.032999999999999924e-06,5.931940607015546880e+18,8.733672718156195840e+18,1.104465816353872282e+19,1.132922827634640486e+19
5.040000000000000026e-06,5.921086023950980096e+18,8.715768398926892032e+18,1.102078307947293082e+19,1.130461692433881702e+19
5.047000000000000128e-06,5.910173087928534016e+18,8.697777523656741888e+18,1.099679865728945766e+19,1.127989343288580506e+19
5.054000000000000231e-06,5.899201676851299328e+18,8.679700026284422144e+18,1.097270488949831475e+19,1.125505780179167232e+19
5.060999999999999486e-06,5.888171668057654272e+18,8.661535840493267968e+18,1.094850176858125107e+19,1.123011003086000538e+19
5.067999999999999589e-06,5.877082938321282048e+18,8.643284899711889408e+18,1.092418928699171021e+19,1.120505011989362278e+19
5.074999999999999691e-06,5.865935363851207680e+18,8.624947137114782720e+18,1.089976743715502285e+19,1.117987806869462835e+19
5.081999999999999793e-06,5.854728820291802112e+18,8.606522485622923264e+18,1.087523621146841088e+19,1.115459387706438861e+19
5.088999999999999896e-06,5.843463182722846720e+18,8.588010877904382976e+18,1.085059560230104269e+19,1.112919754480352461e+19
5.095999999999999998e-06,5.832138325659532288e+18,8.569412246374938624e+18,1.082584560199421542e+19,1.110368907171194266e+19
5.103000000000000100e-06,5.820754123052546048e+18,8.550726523198705664e+18,1.080098620286129357e+19,1.107806845758883430e+19
5.110000000000000203e-06,5.809310448288070656e+18,8.531953640288733184e+18,1.077601739718789120e+19,1.105233570223261491e+19
5.117000000000000305e-06,5.797807174187884544e+18,8.513093529307643904e+18,1.075093917723187814e+19,1.102649080544103834e+19
5.124000000000000408e-06,5.786244173009367040e+18,8.494146121668240384e+18,1.072575153522351718e+19,1.100053376701108019e+19
5.131000000000000510e-06,5.774621316445597696e+18,8.475111348534158336e+18,1.070045446336549274e+19,1.097446458673904435e+19
5.138000000000000612e-06,5.762938475625406464e+18,8.455989140820466688e+18,1.067504795383299277e+19,1.094828326442047693e+19
5.144999999999999868e-06,5.751195521113434112e+18,8.436779429194318848e+18,1.064953199877383168e+19,1.092198979985023590e+19
5.151999999999999970e-06,5.739392322910226432e+18,8.417482144075581440e+18,1.062390659030844826e+19,1.089558419282245018e+19
5.158999999999999226e-06,5.727528750452303872e+18,8.398097215637481472e+18,1.059817172053007360e+19,1.086906644313054413e+19
5.165999999999999328e-06,5.715604672612234240e+18,8.378624573807219712e+18,1.057232738150473728e+19,1.084243655056721306e+19
5.172999999999999430e-06,5.703619957698751488e+18,8.359064148266649600e+18,1.054637356527138406e+19,1.081569451492448461e+19
5.179999999999999533e-06,5.691574473456823296e+18,8.339415868452898816e+18,1.052031026384193331e+19,1.078884033599363891e+19
5.186999999999999635e-06,5.679468087067761664e+18,8.319679663559028736e+18,1.049413746920137728e+19,1.076187401356527206e+19
5.193999999999999737e-06,5.667300665149335552e+18,8.299855462534679552e+18,1.046785517330784666e+19,1.073479554742928179e+19
5.200999999999999840e-06,5.655072073755864064e+18,8.279943194086722560e+18,1.044146336809267405e+19,1.070760493737486336e+19
5.207999999999999942e-06,5.642782178378356736e+18,8.259942786679929856e+18,1.041496204546051891e+19,1.068030218319049728e+19
5.215000000000000045e-06,5.630430843944603648e+18,8.239854168537618432e+18,1.038835119728940851e+19,1.065288728466399437e+19
5.222000000000000147e-06,5.618017934819340288e+18,8.219677267642310656e+18,1.036163081543081984e+19,1.062536024158246093e+19
5.229000000000000249e-06,5.605543314804352000e+18,8.199412011736423424e+18,1.033480089170978816e+19,1.059772105373229670e+19
5.236000000000000352e-06,5.593006847138619392e+18,8.179058328322896896e+18,1.030786141792495821e+19,1.056996972089925018e+19
5.243000000000000454e-06,5.580408394498467840e+18,8.158616144665909248e+18,1.028081238584867226e+19,1.054210624286833050e+19
5.250000000000000557e-06,5.567747818997726208e+18,8.138085387791509504e+18,1.025365378722707661e+19,1.051413061942392627e+19
5.256999999999999812e-06,5.555024982187855872e+18,8.117465984488307712e+18,1.022638561378016461e+19,1.048604285034967040e+19
5.263999999999999914e-06,5.542239745058142208e+18,8.096757861308161024e+18,1.019900785720186470e+19,1.045784293542858752e+19
5.271000000000000017e-06,5.529391968035853312e+18,8.075960944566851584e+18,1.017152050916016333e+19,1.042953087444295885e+19
5.278000000000000119e-06,5.516481510986398720e+18,8.055075160344749056e+18,1.014392356129714176e+19,1.040110666717443891e+19
5.284999999999999374e-06,5.503508233213550592e+18,8.034100434487534592e+18,1.011621700522906419e+19,1.037257031340398182e+19
5.291999999999999477e-06,5.490471993459576832e+18,8.013036692606844928e+18,1.008840083254648832e+19,1.034392181291187200e+19
5.298999999999999579e-06,5.477372649905485824e+18,7.991883860081009664e+18,1.006047503481432064e+19,1.031516116547774259e+19
5.305999999999999682e-06,5.464210060171198464e+18,7.970641862055699456e+18,1.003243960357191885e+19,1.028628837088052224e+19
5.312999999999999784e-06,5.450984081315757056e+18,7.949310623444664320e+18,1.000429453033314509e+19,1.025730342889851085e+19
5.319999999999999886e-06,5.437694569837551616e+18,7.927890068930403328e+18,9.976039806586497024e+18,1.022820633930932634e+19
5.326999999999999989e-06,5.424341381674529792e+18,7.906380122964875264e+18,9.947675423795150848e+18,1.019899710188993126e+19
5.334000000000000091e-06,5.410924372204432384e+18,7.884780709770213376e+18,9.919201373397053440e+18,1.016967571641662464e+19
5.341000000000000193e-06,5.397443396245008384e+18,7.863091753339412480e+18,9.890617646805037056e+18,1.014024218266505011e+19
5.348000000000000296e-06,5.383898308054289408e+18,7.841313177437053952e+18,9.861924235406848000e+18,1.011069650041020621e+19
5.354999999999999551e-06,5.370288961330807808e+18,7.819444905600028672e+18,9.833121130565308416e+18,1.008103866942642790e+19
5.361999999999999654e-06,5.356615209213862912e+18,7.797486861138194432e+18,9.804208323618301952e+18,1.005126868948739482e+19
